"";"banalfreq";"X.gr_01";"X.gr_02"
"prever";25;1,4447;-1,4447
"roubo";10;-0,4659;0,4659
"incluir";32;0,6544;-0,6544
"criatividade";15;-0,6989;0,6989
"dez";37;-1,7241;1,7241
"ocorrência";16;-0,2964;0,2964
"morto";64;-0,2835;0,2835
"morte";66;1,1645;-1,1645
"pleno";10;1,1356;-1,1356
"distribuir";18;-0,8387;0,8387
"carreira";25;-1,1649;1,1649
"sistema";73;-1,2767;1,2767
"discussão";31;-0,7902;0,7902
"celular";15;1,2326;-1,2326
"24";29;0,2387;-0,2387
"25";19;-0,8853;0,8853
"27";14;-0,2397;0,2397
"20";59;0,6047;-0,6047
"22";29;-0,3738;0,3738
"23";16;-0,2964;0,2964
"pena";21;0,4414;-0,4414
"respeito";15;-0,6989;0,6989
"completar";20;0,4777;-0,4777
"porto";35;-0,2863;0,2863
"porta";18;0,9869;-0,9869
"visitar";13;-0,2126;0,2126
"prefeito";19;-0,8853;0,8853
"britânico";25;0,3237;-0,3237
"analisar";12;-0,1864;0,1864
"verdade";37;-1,7241;1,7241
"secretaria";22;-1,0251;1,0251
"piloto";30;-1,3979;1,3979
"comando";10;-0,137;0,137
"cada";94;-1,4972;1,4972
"jogo";58;-0,5459;0,5459
"dono";22;0,7459;-0,7459
"retornar";11;1,0303;-1,0303
"importância";13;-0,6057;0,6057
"para";1512;-0,8372;0,8372
"park";16;-0,2964;0,2964
"conhecer";57;0,9171;-0,9171
"esgoto";21;-0,4497;0,4497
"essa";166;-0,8953;0,8953
"permanecer";16;-0,2964;0,2964
"km";15;-0,2677;0,2677
"obstáculo";12;-0,5591;0,5591
"sustentar";11;1,0303;-1,0303
"ruim";15;0,7196;-0,7196
"depender";26;-1,2115;1,2115
"8";23;0,3776;-0,3776
"meio";112;-1,6231;1,6231
"restaurante";20;-0,1758;0,1758
"tender";23;0,3776;-0,3776
"filho";145;0,8202;-0,8202
"andar";39;0,6973;-0,6973
"parar";26;0,5699;-0,5699
"repetir";12;-0,5591;0,5591
"busca";23;0,3776;-0,3776
"entre";174;-0,3068;0,3068
"verificar";13;0,4122;-0,4122
"alternativo";10;-0,137;0,137
"atentado";25;-1,1649;1,1649
